Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 22-Sep-2020 at 12:54:06.
Created 22-Sep-2020 12:54:06.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.2000	 0.003048	 0.018612	-0.006222	-0.038616	-0.016105
 0.2250	 	 	 	 	-0.021766
 0.2500	 0.003590	 0.002556	-0.007532	-0.013250	-0.022705
 0.2750	 	 	 	 	-0.015036
 0.3000	 0.003177	-0.018996	-0.007292	 0.023446	 0.001085
 0.3250	 	 	 	 	 0.026259
 0.3500	 0.001791	-0.035745	-0.005215	 0.060191	 0.055472
 0.3750	 	 	 	 	 0.088374
 0.4000	-0.000097	-0.038647	-0.001571	 0.086057	 0.117460
 0.4250	 	 	 	 	 0.141525
 0.4500	-0.001634	-0.021814	 0.002883	 0.092329	 0.154956
 0.4750	 	 	 	 	 0.156900
 0.5000	-0.001853	 0.012797	 0.007009	 0.072449	 0.146521
 0.5250	 	 	 	 	 0.122386
 0.5500	-0.000274	 0.047303	 0.009487	 0.026196	 0.091277
 0.5750	 	 	 	 	 0.049463
 0.6000	 0.002304	 0.050454	 0.009088	-0.042391	 0.013410
 0.6250	 	 	 	 	-0.019665
 0.6500	 0.003690	 0.001929	 0.005061	-0.117483	-0.033310
 0.6750	 	 	 	 	-0.026081
 0.7000	 0.001805	-0.070303	-0.002033	-0.163086	-0.000565
 0.7250	 	 	 	 	 0.043737
 0.7500	-0.002030	-0.068268	-0.009850	-0.145554	 0.082782
 0.7750	 	 	 	 	 0.112678
 0.8000	-0.003107	 0.029216	-0.014791	-0.048950	 0.111540
 0.8250	 	 	 	 	 0.069619
